Cocktail,Ingredients,Preparation,Bar/Company,Location
Empellón Cocina's Fat-Washed Mezcal,"Coffee liqueur, Chocolate liqueur, Mezcal, ","To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.",,
Frosé,"Lemon Juice, Strawberries, Sugar, Rose, ","Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",,
Frappé,"Sugar, Milk, Coffee, ","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",,
Foxy Lady,"Light cream, Creme de Cacao, Amaretto, ","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",,
Figgy Thyme,"Tonic Water, Angostura Bitters, Thyme, Figs, Honey, Vodka, ","In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",,
Frisco Sour,"Lime, Lemon, Lime, Lemon, Benedictine, Blended whiskey, ",Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,,
Fruit Shake,"Ice, Fruit, Orange juice, Banana, Yoghurt, ",Blend til smooth.,,
Fruit Cooler,"Ice, Soda water, Apple, Lemon, Sugar, Strawberries, Apple juice, ","Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",,
Freddy Kruger,"Vodka, Sambuca, Jägermeister, ",make it an ample size shot!!,,
Funk and Soul,"Soda Water, lemon, Pomegranate juice, Apricot Nectar, Rum, ",Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,,
Fuzzy Asshole,"Peach schnapps, Coffee, ",fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,,
French Negroni,"Orange Peel, Sweet Vermouth, Lillet, Gin, ","Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",,
Fahrenheit 5000,"Tabasco sauce, Absolut Peppar, Firewater, ",Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,,
Flying Dutchman,"Triple sec, Gin, ","In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",,
Frozen Daiquiri,"Ice, Cherry, Sugar, Lime juice, Triple sec, Light rum, ","Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",,
Fruit Flip-Flop,"Fruit juice, Yoghurt, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",,
Flying Scotchman,"Sugar syrup, Bitters, Sweet Vermouth, Scotch, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",,
French Connection,"Amaretto, Cognac, ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,,
Flaming Dr. Pepper,"Beer, Dr. Pepper, rum, Vodka, Amaretto, ","Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",,
Flander's Flake-Out,"Sarsaparilla, Sambuca, ",Bang 'em both in.,,
Frozen Mint Daiquiri,"Sugar, Mint, Lime juice, Light rum, ",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,,
Frozen Pineapple Daiquiri,"Sugar, Lime juice, Pineapple, Light rum, ",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,,
GG,"Ice, Ginger ale, Galliano, ",Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,,
Gimlet,"Lime, Sugar Syrup, Lime Juice, Gin, ","Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",,
Godchild,"Heavy cream, Amaretto, Vodka, ","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",,
Gin Fizz,"Carbonated water, Powdered sugar, Lemon, Gin, ","Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",,
Gin Sour,"Maraschino cherry, Orange, Sugar, Lemon juice, Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",,
Godmother,"Amaretto, Vodka, ",Pour vodka and amaretto into an old-fashioned glass over ice and serve.,,
Godfather,"Amaretto, Scotch, ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,,
Gluehwein,"Lemon peel, Cloves, Cinnamon, Sugar, Water, Red wine, ","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",,
Gin Tonic,"Ice, Lemon Peel, Tonic Water, Gin, ","Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",,
Gin Toddy,"Lemon peel, Powdered sugar, Water, Gin, ","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",,
Gin Smash,"Cherry, Orange, Mint, Sugar, Carbonated water, Gin, ","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",,
Gin Daisy,"Orange, Maraschino cherry, Grenadine, Sugar, Lemon juice, Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",,
Gin Lemon,"Ice, Lemon Peel, Lemon Juice, Gin, ","For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.",,
Gin Sling,"Orange peel, Water, Powdered sugar, Lemon, Gin, ",Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,,
Greyhound,"Grapefruit Juice, Vodka, ","Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",,
Gin Squirt,"Carbonated water, Strawberries, Pineapple, Powdered sugar, Grenadine, Gin, ","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",,
Grand Blue,"Sweet and sour, Blue Curacao, Peach schnapps, Malibu rum, ",Serve in an old fashioned glass.,,
Gin Cooler,"Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin, ",Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,,
Gin Swizzle,"Club soda, Bitters, Gin, Sugar, Lime juice, ","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",,
Grass Skirt,"Pineapple, Grenadine, Pineapple juice, Triple sec, Gin, ","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",,
Grasshopper,"Light cream, Creme de Cacao, Green Creme de Menthe, ",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,,
Grim Reaper,"Grenadine, rum, Kahlua, ",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,,
Gin and Soda,"Lime, Soda Water, Gin, ","Pour the Gin and Soda water into a highball glass almost filled with ice cubes.
Stir well.
Garnish with the lime wedge.",,
H.D.,"Coffee, Baileys irish cream, Whisky, ",Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,,
Honey Bee,"Lemon Juice, Honey, White Rum, ","Shake ingredients with crushed ice
",,
Hot Toddy,"Cloves, lemon, Cinnamon, Honey, Whiskey, ","STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.",,
Herbal flame,"Tea, Hot Damn, ","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",,
Horse's Neck,"Bitters, Ginger ale, Brandy, Lemon peel, ","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",,
Happy Skipper,"Ice, Lime, Ginger ale, Spiced rum, ","Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",,
Hunter's Moon,"Blackberries, Lemonade, Sugar Syrup, Maraschino Cherry, Vermouth, ","Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",,
Halloween Punch,"Vodka, Ginger, Cloves, Red Chili Flakes, Orange Peel, Cherry Juice, ","Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.",,
Havana Cocktail,"Lemon juice, Pineapple juice, Light rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",,
Holloween Punch,"Sherbet, Sherbet, Carbonated soft drink, Grape juice, ","Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",,
Homemade Kahlua,"Vodka, Water, Vanilla extract, Coffee, Corn syrup, Sugar, ","Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",,
Hot Creamy Bush,"Coffee, Baileys irish cream, Irish whiskey, ",Combine all ingredients in glass,,
Harvey Wallbanger,"Orange juice, Galliano, Vodka, ","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",,
Hawaiian Cocktail,"Pineapple juice, Triple sec, Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",,
Hemingway Special,"Lime Juice, Maraschino Liqueur, Grapefruit Juice, Rum, ",Pour all ingredients into a shaker with ice. Shake.,,
Highland Fling Cocktail,"Olive, Orange bitters, Sweet Vermouth, Scotch, ",Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,,
Hot Chocolate to Die for,"Marshmallows, Half-and-half, Vanilla extract, Butter, Chocolate, ","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",,
Ipamena,"Ice, Ginger ale, Passion fruit juice, Brown sugar, Lime, ","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",,
Ice Pick,"Lemon juice, Iced tea, Vodka, ",Put Vodka in glass fill with iced tea. Stir in lemon to taste.,,
Iced Coffee,"Milk, Water, Sugar, Coffee, ",Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,,
Irish Cream,"Chocolate syrup, Coconut syrup, Condensed milk, Half-and-half, Scotch, ",Mix scotch and milk. Add half-and-half. Add rest.,,
Irish Coffee,"Whipped cream, Sugar, Coffee, Irish whiskey, ","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",,
Irish Spring,"Cherry, Orange, Sweet and sour, Orange juice, Peach brandy, Irish whiskey, ","Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",,
Imperial Fizz,"Carbonated water, Powdered sugar, Lemon, Blended whiskey, Light rum, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",,
Irish Russian,"Guinness stout, Coca-Cola, Kahlua, Vodka, ",Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,,
Iced Coffee Fillip,"Coffee, Kahlua, ",Mix together in a coffee mug and chill before serving.,,
Jam Donut,"Sugar, Sugar syrup, Chambord raspberry liqueur, Baileys irish cream, ","Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",,
Jackhammer,"Amaretto, Jack Daniels, ","Serve over ice- Warning,Deadly!",,
Jelly Bean,"Anis, Blackberry brandy, ",mix equal parts in pony glass-tastes just like a jelly bean!,,
Jello shots,"Water, Jello, Vodka, ","Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",,
Jamaica Kiss,"Milk, Ice, Light rum, Coffee liqueur, ",Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,,
John Collins,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Bourbon, ",Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,,
Japanese Fizz,"Carbonated water, Egg white, Port, Powdered sugar, Lemon, Blended whiskey, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",,
Jamaican Coffee,"Whipped cream, Water, Coffee, Rum, ","Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",,
Just a Moonmint,"Mint syrup, Chocolate syrup, Milk, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",,
Jewel Of The Nile,"Yellow Chartreuse, Green Chartreuse, Gin, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,
Jack Rose Cocktail,"Lime, Grenadine, Apple brandy, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",,
Jack's Vanilla Coke,"Coca-Cola, Vanilla extract, Tennessee whiskey, Ice, ","After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",,
Karsk,"Grain alcohol, Coffee, ","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",,
Kamikaze,"Lime juice, Triple sec, Vodka, ","Shake all ingredients together with ice. Strain into glass, garnish and serve.",,
Kiwi Lemon,"Ice, Bitter lemon, Kiwi liqueur, ",Mix in highball glass. Stirr. Garnish with slice of kiwi.,,
Kurant Tea,"Sugar, Tea, Absolut Kurant, ","Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",,
Kioki Coffee,"Coffee, Brandy, Kahlua, ",Stir. Add whipped cream to the top.,,
Kiwi Martini,"Kiwi, Vodka, Sugar Syrup, Kiwi, ","The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.

For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.",,
Kiss me Quick,"Ice, Apple juice, Schweppes Russchian, Apfelkorn, Cranberry vodka, ",mix in the glass,,
Kool-Aid Shot,"Cranberry juice, Triple sec, Sloe gin, Amaretto, Vodka, ",Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,,
Kool First Aid,"Kool-Aid, rum, ","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",,
Kentucky B And B,"Benedictine, Bourbon, ",Pour the bourbon and Benedictine into a brandy snifter.,,
Kentucky Colonel,"Lemon peel, Benedictine, Bourbon, ",In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,,
Kool-Aid Slammer,"Vodka, Kool-Aid, ","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",,
Kiwi Papaya Smoothie,"Papaya, Kiwi, ",Throw everything into a blender and liquify.,,
Kill the cold Smoothie,"Water, Lemon, Ginger, ",Juice ginger and lemon and add it to hot water. You may add cardomom.,,
Limeade,"Lime peel, Soda water, Sugar, Lime, ","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",,
Lunch Box,"Orange juice, Amaretto, Beer, ",Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,,
Lemon Shot," rum, Sugar, Lemon, Absolut Citron, Galliano, ","Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",,
Long vodka,"Ice, Tonic water, Angostura bitters, Lime, Vodka, ","Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",,
Lassi Khara,"Asafoetida, Salt, Water, Yoghurt, ",Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,,
Lassi Raita,"Salt, Lime, Sugar, Ice, Yoghurt, ","Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",,
Lemouroudji,"Cayenne pepper, Sugar, Lemon, Water, Ginger, ","Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.",,
Loch Lomond,"Lemon peel, Dry Vermouth, Drambuie, Scotch, ","In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",,
London Town,"Orange bitters, Maraschino liqueur, Gin, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,
Lassi - Mango,"Water, Sugar, Yoghurt, Mango, ",Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,,
Lassi - Sweet,"Lemon juice, Salt, Sugar, Water, Yoghurt, ",Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,,
Limona Corona,"Bacardi Limon, Corona, ","Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",,
Lord And Lady,"Tia maria, Dark rum, ",Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,,
Lady Love Fizz,"Carbonated water, Egg white, Lemon, Powdered sugar, Light cream, Gin, ","Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",,
Long Island Tea,"Coca-Cola, Lemon, Tequila, Gin, Light rum, Vodka, ",Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,,
Lone Tree Cooler,"Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water, ","Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",,
Lone Tree Cocktail,"Gin, Sweet Vermouth, ","Stir ingredients with ice, strain into a cocktail glass, and serve.",,
Lazy Coconut Paloma,"Soda Water, Grapefruit Juice, Coconut Liqueur, ",Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,,
Long Island Iced Tea,"Lemon peel, Coca-Cola, Gin, Light rum, Tequila, Vodka, ",Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,,
Lemon Elderflower Spritzer,"Fresh Lemon Juice, Soda Water, Vodka, Elderflower cordial, ","Pour all ingredients over ice, stir and enjoy!
",,
Lassi - A South Indian Drink,"Mint, Salt, Cumin seed, Water, Yoghurt, ","Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",,
Melya,"Cocoa powder, Honey, Espresso, ","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",,
Mimosa,"Orange juice, Champagne, ","Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",,
Mai Tai,"Cherry, Sweet and sour, Triple sec, Orgeat syrup, Light rum, ",Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,,
Michelada,"Soy Sauce, Worcestershire Sauce, Hot Sauce, Lime Juice, Tomato Juice, Beer, ","Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
",,
Mint Julep,"Water, Powdered sugar, Bourbon, Mint, ","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",,
Mudslinger,"Pepsi Cola, Orange juice, Southern Comfort, ",Add all contents to a large jug or punch bowl. Stir well!,,
Martinez 2,"Angostura Bitters, Maraschino Liqueur, Sweet Vermouth, Gin, ","Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.",,
Moranguito,"Grenadine, Tequila, Absinthe, ","first you put rhe absinthe, then put tequila, then put the Granadine syrup.",,
Moscow Mule,"Ginger ale, Lime juice, Vodka, ",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,,
Mulled Wine,"Brandy, Red wine, Lemon peel, Cinnamon, Cloves, Sugar, Water, ","Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",,
Masala Chai,"Milk, Sugar, Black pepper, Cinnamon, Cloves, Cardamom, Ginger, Tea, Water, ",Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,,
Munich Mule,"lemon, Cucumber, Ginger Beer, Lime Juice, Gin, ","Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice",,
Mocha-Berry,"Whipped cream, Cocoa powder, Chambord raspberry liqueur, Coffee, ","pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.",,
